vendor,category,confidence
Heritage Health Center Janakpur 857,Healthcare,0.84
Nepalgunj Goods Biratnagar,Other,0.91
Sajilo Global Flight 402,Travel,0.83
Green Corner,Other,0.91
Elite Point 36,Other,0.84
Blue Club,Entertainment,0.85
Blue Fuel Station,Transportation,0.91
Hetauda Agency Lalitpur,Business,0.88
Metro Agency,Travel,0.88
Everest Telecom,Utilities,0.81
Bagmati Super Rentals,Business,0.91
Janakpur Classic Sewa,Transportation,0.82
Kathmandu Mart Pokhara,Food & Dining,0.87
Janakpur Point 409,Other,0.82
Pashupati Studio Dhangadhi,Entertainment,0.85
Gorkha Classic Hotel 238,Travel,0.88
Bishal Pharmacy Butwal,Healthcare,0.82
Naya Theatre,Entertainment,0.96
Pokhara School,Education,0.81
Himal Books Chitwan,Education,0.86
Bhaktapur Bazaar Bhaktapur,Shopping,0.86
Nepal Bhojanalay Butwal,Food & Dining,0.96
Heritage Fuel Station Hetauda,Transportation,0.94
Moonlight Classic Bhojanalay,Food & Dining,0.93
Ananda Taxi,Transportation,0.95
Nepalgunj Gaming Gorkha,Entertainment,0.83
Naya Resort Nepalgunj,Travel,0.95
Bishal Playzone,Entertainment,0.84
Janakpur Kirana,Other,0.98
Chitwan Restaurant Syangja 458,Food & Dining,0.83
Riverside Hostel Dhangadhi,Business,0.88
Mountain Sewa,Transportation,0.83
Classic Clinic,Healthcare,0.89
Happy Assortment Nepalgunj,Other,0.97
Bagmati Modern College Hetauda,Education,0.9
Syangja Flight,Travel,0.89
Royal Books,Education,0.89
Prime Super Trek,Travel,0.97
Himal Lodge,Travel,0.91
Bhaktapur Mart Hetauda,Food & Dining,0.93
Nepal Pharmacy Jumla,Healthcare,0.95
Sajilo Training,Education,0.89
Everest Urban Agency Jumla 398,Travel,0.83
Riverside Urban Studio 227,Entertainment,0.82
Prime Mart Biratnagar,Food & Dining,0.91
Dullu Service,Utilities,0.88
Himal Sewa,Transportation,0.96
Green Ayurveda Dhangadhi,Healthcare,0.98
Dullu Super Cafe,Food & Dining,0.98
Dullu Flight Nepalgunj,Travel,0.85
Biratnagar Trans,Transportation,0.88
Smart Modern Bazaar,Shopping,0.9
Dullu School Nepalgunj,Education,0.87
Nepal Fuel Station Kathmandu,Transportation,0.81
Pokhara Mart Dhangadhi 533,Shopping,0.97
Pashupati Classic Clinic,Healthcare,0.94
Nepalgunj Classic Diagnostics,Healthcare,0.98
City Books Pokhara,Education,0.85
Everest Sewa Biratnagar,Transportation,0.83
Classic Classic Bus Service Butwal,Transportation,0.8
Good Pasal Dhangadhi,Other,0.83
Trust Trans,Transportation,0.92
Everest Consultancy,Business,0.92
Suryodaya Beverages Dhangadhi,Food & Dining,0.96
Janakpur Transport Chitwan,Transportation,0.86
Nepalgunj Diagnostics Lalitpur,Healthcare,0.84
Lakeside Vendor,Other,0.98
Kathmandu Urban Point,Other,0.94
Quick Arcade,Entertainment,0.84
Chitwan Modern Emporium Lalitpur,Shopping,0.8
Bagmati Beverages Dhangadhi 876,Food & Dining,0.97
Koshi Water Syangja,Utilities,0.95
Biratnagar Depo Kathmandu,Shopping,0.87
Prime Cinema Biratnagar,Entertainment,0.97
Urban Health Center Pokhara,Healthcare,0.88
Good Store Chitwan 8,Shopping,0.82
Classic Academy,Education,0.89
Chitwan Classic Institute Biratnagar,Education,0.89
Happy Resort Bhaktapur,Travel,0.8
Mountain Entertainment,Entertainment,0.96
Naya Assortment,Other,0.81
Nepalgunj Electronics,Shopping,0.98
Mero School Biratnagar,Education,0.98
Urban Bus Service,Transportation,0.93
Gorkha Modern Tours,Travel,0.95
Happy Supplies 40,Business,0.81
Everest Collection Bhaktapur,Shopping,0.96
Smart Urban Bakery Dharan,Food & Dining,0.97
Sundar Mega Provider Butwal 165,Other,0.86
Mero Kitchen Bhaktapur,Food & Dining,0.99
Suryodaya Arcade Nepalgunj,Entertainment,0.98
Seti Solutions Janakpur,Business,0.83
Himal Hostel,Business,0.88
Chitwan Momo Chitwan,Food & Dining,0.85
Mountain Super Outlet 91,Shopping,0.99
Metro Provider Lalitpur,Utilities,0.92
Koshi Momo Nepalgunj,Food & Dining,0.8
Biratnagar Super Travels,Travel,0.96
Chitwan Modern Retreat Kathmandu,Travel,0.8
Quick Service,Utilities,0.88
Classic Gaming 970,Entertainment,0.94
Gorkha Energy,Utilities,0.98
First Supplies Dharan,Business,0.86
Trust Retreat Kathmandu,Travel,0.98
Seti Pharmacy Hetauda,Healthcare,0.89
Janakpur Tours,Travel,0.93
Royal Fuel Station Pokhara 338,Transportation,0.92
Bhaktapur Super Mart,Shopping,0.88
Suryodaya Urban Office Dharan,Business,0.98
Mountain Rides Butwal,Transportation,0.92
Gorkha Bus Service Chitwan,Transportation,0.91
Kathmandu Mega Club 934,Entertainment,0.93
Janakpur Printing 266,Business,0.95
Everest Rentals Pokhara,Business,0.99
Kathmandu Cable Jumla,Utilities,0.98
Himal Vendor Lalitpur,Other,0.88
Seti Classic Events,Entertainment,0.91
Everest Sewa 384,Transportation,0.91
Biratnagar Classic Ayurveda,Healthcare,0.87
Bishal Health Center Janakpur,Healthcare,0.92
Ananda Super Health Center,Healthcare,0.96
Golden Urban Store Jumla,Shopping,0.81
Metro Outlet,Shopping,0.86
Bagmati Point Janakpur,Other,0.9
Blue Arcade Biratnagar,Entertainment,0.89
Sunrise Gaming Butwal,Entertainment,0.83
Quick Pharmacy Dhangadhi,Healthcare,0.92
Lalitpur Water Dharan,Utilities,0.9
Syangja Taxi Kathmandu,Transportation,0.98
Pashupati Mart Janakpur 840,Food & Dining,0.82
Janakpur Mega Internet,Utilities,0.89
Koshi Modern Electric,Utilities,0.91
Prime Retreat 400,Travel,0.91
Syangja Shop 591,Shopping,0.9
Happy Assortment Hetauda 545,Other,0.81
Ananda Classic Health Center Kathmandu,Healthcare,0.87
Elite Foods,Food & Dining,0.87
Bishal Training,Education,0.94
Biratnagar Super Events,Entertainment,0.94
Lakeside Events,Entertainment,0.86
Seti Guest House Dharan,Travel,0.9
Moonlight Lounge,Entertainment,0.98
Chitwan Petrol Pump,Transportation,0.97
Sajilo Retreat Pokhara,Travel,0.87
Dharan Tours,Travel,0.92
Elite Service Gorkha,Utilities,0.89
Smart Mega Stationery Biratnagar,Education,0.95
First Rides,Transportation,0.97
Nepal Services,Business,0.87
Moonlight Telecom Lalitpur,Utilities,0.83
Gorkha Tours,Travel,0.87
Classic Modern Kitchen Bhaktapur,Food & Dining,0.83
Riverside Office,Business,0.96
City Global Gaming,Entertainment,0.91
Smart Shop Dharan,Other,0.87
First Theatre 999,Entertainment,0.8
Royal Depo Biratnagar,Shopping,0.93
Seti Studio Dhangadhi,Entertainment,0.87
Ananda Hotel Gorkha,Travel,0.92
Good Electric 83,Utilities,0.91
Koshi Hostel Jumla,Business,0.92
Gorkha Trans Nepalgunj,Transportation,0.97
Elite Classic Momo Bhaktapur,Food & Dining,0.83
Ananda Agency 830,Travel,0.81
Metro Studio Chitwan,Entertainment,0.87
Mero Pharmacy Dharan,Healthcare,0.92
Koshi Bazaar Butwal,Shopping,0.93
Happy Goods,Other,0.88
Bagmati Retreat Syangja,Travel,0.93
Biratnagar Solutions Bhaktapur,Business,0.92
Heritage Hostel Syangja,Business,0.94
Sajilo Training Lalitpur,Education,0.86
Sunrise Shop,Shopping,0.82
Nepal Taxi 283,Transportation,0.93
Everest Rentals Biratnagar,Business,0.94
Pashupati Tuition Jumla,Education,0.91
Royal Lounge 969,Entertainment,0.85
Urban Stationery Biratnagar,Education,0.89
Janakpur Gaming,Entertainment,0.87
Sajilo Supplies Jumla,Business,0.93
Elite Modern Agency,Travel,0.84
Blue Supplies 495,Business,0.81
Janakpur Internet Dharan,Utilities,0.86
City Collection Bhaktapur,Shopping,0.9
Trust Hostel,Business,0.9
Riverside Office Syangja,Business,0.88
City Entertainment Lalitpur,Entertainment,0.95
Kathmandu Laboratory Chitwan,Healthcare,0.88
Blue Mega Center,Education,0.92
Trust Provider Pokhara,Other,0.96
Blue Flight Biratnagar,Travel,0.96
Himal Mega Office,Business,0.92
Sajilo Petrol Pump,Transportation,0.98
Heritage Point 155,Other,0.94
Dullu Books Chitwan,Education,0.83
Blue Urban Garage 759,Transportation,0.86
Syangja Sewa Bhaktapur,Transportation,0.93
Golden Assortment,Other,0.91
Janakpur Service Bhaktapur 846,Utilities,0.86
Green Global Books,Education,0.81
Butwal Solutions,Business,0.96
Smart Academy,Education,0.89
Blue Classic Foods,Food & Dining,0.82
Kathmandu Electric 799,Utilities,0.92
First Medical Butwal 368,Healthcare,0.82
Sundar Clinic,Healthcare,0.92
Good Modern Health Center,Healthcare,0.97
Bishal Modern Academy Kathmandu 442,Education,0.85
Pokhara Provider Syangja 470,Utilities,0.89
Himal Energy,Utilities,0.97
Urban Super Cable Lalitpur 238,Utilities,0.96
Chitwan Petrol Pump 285,Transportation,0.83
Naya College Bhaktapur 44,Education,0.81
Moonlight Club,Entertainment,0.89
Classic Urban Academy Syangja,Education,0.91
Seti Mega Service Butwal,Utilities,0.9
Sunrise Internet Kathmandu,Utilities,0.91
Himal Stationery,Education,0.9
Heritage Sewa 919,Transportation,0.84
First Vendor Butwal,Other,0.92
Moonlight Internet Syangja 972,Utilities,0.81
Moonlight Wellness Chitwan,Healthcare,0.93
Sundar Garage,Transportation,0.84
Himal Provider 249,Utilities,0.98
Riverside Garage Kathmandu,Transportation,0.9
Bagmati Rides 427,Transportation,0.82
Syangja Guest House Chitwan,Travel,0.86
Riverside Vendor,Other,0.98
Smart Mega Shop,Other,0.81
Sajilo Super Center Biratnagar,Education,0.88
Riverside Classic Institute Jumla,Education,0.94
Bishal Collection,Shopping,0.83
Dullu Global Garage,Transportation,0.86
Moonlight Garage Pokhara,Transportation,0.94
Blue Petrol Pump 886,Transportation,0.83
Moonlight Urban Foods Kathmandu,Food & Dining,0.91
Nepal University,Education,0.83
Bishal Medical,Healthcare,0.92
Lumbini Services,Business,0.93
Ananda Services,Business,0.81
Classic Urban Diagnostics,Healthcare,0.81
Himal Diner Janakpur,Food & Dining,0.89
Syangja Petrol Pump Biratnagar,Transportation,0.96
Bhaktapur Super Rentals 26,Business,0.94
City Mart Butwal,Food & Dining,0.82
Himal Trans Janakpur,Transportation,0.95
Himal Bazaar 387,Shopping,0.85
Sunrise Diagnostics,Healthcare,0.81
Trust Pasal Dharan,Other,0.85
Sukrishna Hotel Lalitpur,Travel,0.85
Sajilo Lounge,Entertainment,0.86
Metro Laboratory,Healthcare,0.81
Himal Playzone,Entertainment,0.97
City Events Nepalgunj,Entertainment,0.97
Heritage Center Biratnagar,Other,0.93
Hetauda Modern Pasal Pokhara,Other,0.83
Lalitpur Retreat 620,Travel,0.86
Good Agency Janakpur,Travel,0.85
Moonlight Modern Cable 770,Utilities,0.86
Hetauda Electronics,Shopping,0.8
Dullu Trek,Travel,0.82
Blue Clinic Kathmandu,Healthcare,0.88
Sundar Gaming Dhangadhi,Entertainment,0.98
Heritage Books Syangja,Education,0.95
Seti Institute Butwal,Education,0.98
Mero Fashion Kathmandu,Shopping,0.86
Koshi Guest House,Travel,0.87
Himal Hotel Kathmandu,Travel,0.82
Royal Club Hetauda,Entertainment,0.9
Moonlight Service Kathmandu,Utilities,0.88
Pashupati Mega Utility,Utilities,0.84
Pashupati Modern Point Biratnagar,Other,0.9
Mountain Broadband Janakpur,Utilities,0.92
Gorkha Goods Biratnagar,Other,0.89
Heritage Bus Service,Transportation,0.8
Urban Logistics Biratnagar,Business,0.96
Urban Center Nepalgunj 702,Other,0.92
Janakpur Super Theatre Hetauda,Entertainment,0.96
Happy Fuel Station Gorkha,Transportation,0.98
Dharan Tours Kathmandu 650,Travel,0.85
Blue Travels,Transportation,0.95
Moonlight Urban Academy Kathmandu,Education,0.84
Mero Utility Janakpur,Utilities,0.93
Sunrise Global Shop,Shopping,0.86
Pashupati Ayurveda Kathmandu,Healthcare,0.97
Koshi Hotel Kathmandu,Travel,0.92
Kathmandu Urban Telecom Gorkha,Utilities,0.95
Bhaktapur Tuition,Education,0.81
First Bakery,Food & Dining,0.96
Dullu Mega Cable Kathmandu,Utilities,0.94
Sajilo Urban Arcade,Entertainment,0.84
Naya Provider Hetauda,Utilities,0.93
Janakpur Hotel Syangja,Travel,0.94
Moonlight Cinema Gorkha 911,Entertainment,0.88
Classic Modern School,Education,0.84
Janakpur Health Center Chitwan 459,Healthcare,0.93
Golden Kitchen Dhangadhi,Food & Dining,0.86
Suryodaya Supplies Bhaktapur,Business,0.84
Dharan Institute,Education,0.84
Everest Mega Tuition Biratnagar,Education,0.95
Chitwan Mega Outlet Kathmandu,Shopping,0.93
Mero Classic Hostel,Business,0.88
Lumbini Global Fashion,Shopping,0.94
Sukrishna Broadband,Utilities,0.94
Heritage Momo Gorkha,Food & Dining,0.98
Bagmati Bazaar,Shopping,0.83
Koshi Rentals Dhangadhi,Business,0.94
Janakpur Diner Jumla,Food & Dining,0.94
First Health Center Dhangadhi,Healthcare,0.96
Pokhara Events,Entertainment,0.99
Classic Modern Restaurant,Food & Dining,0.9
Smart Mega Shop Dharan,Other,0.86
Koshi Super Garage,Transportation,0.93
Heritage Depo Butwal,Shopping,0.94
Kathmandu Classic Kitchen Kathmandu,Food & Dining,0.98
First Agency,Travel,0.86
Royal Store 749,Shopping,0.85
Quick Provider Hetauda 451,Other,0.87
Prime Training Syangja 425,Education,0.98
Chitwan Events,Entertainment,0.9
Bhaktapur Trans,Transportation,0.83
Butwal Printing,Business,0.96
Mero Services,Business,0.88
Green Point Pokhara,Other,0.83
Quick Global Ayurveda,Healthcare,0.89
City Bhojanalay,Food & Dining,0.87
Metro Sewa,Transportation,0.96
Nepal Mart Gorkha,Food & Dining,0.84
Seti University Syangja,Education,0.8
Ananda Books,Education,0.95
Good Bakery Nepalgunj,Food & Dining,0.96
Naya Studio 866,Entertainment,0.89
Bishal Gaming Nepalgunj,Entertainment,0.91
Himal Books 564,Education,0.81
Royal Bhojanalay 476,Food & Dining,0.91
Bhaktapur Mega Ayurveda,Healthcare,0.94
Kathmandu Laboratory,Healthcare,0.84
Biratnagar Modern Hospital Butwal,Healthcare,0.91
Everest Foods Kathmandu,Food & Dining,0.89
Urban College Biratnagar,Education,0.83
Happy College 22,Education,0.82
Mountain Internet Kathmandu,Utilities,0.82
Green Urban Entertainment Gorkha,Entertainment,0.84
Sajilo Mega Institute Dharan,Education,0.8
Ananda Stationery Pokhara,Education,0.86
Prime Supplies Dharan,Business,0.87
Butwal Retreat Dhangadhi 977,Travel,0.97
Naya Gaming 371,Entertainment,0.89
Sunrise Mega Tuition,Education,0.8
Nepalgunj School Biratnagar,Education,0.81
Dharan Playzone Butwal,Entertainment,0.97
Mountain Bhojanalay,Food & Dining,0.83
Chitwan Pharmacy,Healthcare,0.92
Ananda Mart Dhangadhi,Food & Dining,0.98
First Pasal Chitwan 485,Other,0.89
Golden Mega Pasal,Other,0.85
Hetauda Urban Beverages,Food & Dining,0.83
Seti Assortment,Other,0.92
Mountain Global Center,Education,0.81
Smart University Lalitpur,Education,0.85
Seti Goods,Other,0.88
Ananda Solutions,Business,0.93
Kathmandu Classic Point,Other,0.8
Heritage Guest House Pokhara,Travel,0.84
Blue Urban Shop Lalitpur,Other,0.84
Bishal Modern Electronics 51,Shopping,0.89
Nepal Events Gorkha,Entertainment,0.97
Bagmati Taxi,Transportation,0.85
Biratnagar Rentals,Business,0.87
Nepal Shop,Shopping,0.97
Sunrise Clinic Syangja,Healthcare,0.83
Ananda Wellness Chitwan,Healthcare,0.9
Quick Hospital Gorkha,Healthcare,0.93
Lakeside Petrol Pump,Transportation,0.84
Lakeside Books Hetauda,Education,0.83
Golden Guest House,Travel,0.8
Sukrishna Telecom Bhaktapur,Utilities,0.92
Everest Mega Collection Butwal,Shopping,0.89
Kathmandu Goods Bhaktapur,Other,0.84
Dullu Mega Internet,Utilities,0.85
Syangja Classic Rides Lalitpur,Transportation,0.88
Lalitpur Urban Care Pokhara,Healthcare,0.98
Himal Restaurant,Food & Dining,0.82
Dullu Stationery Pokhara,Education,0.82
City Theatre Butwal,Entertainment,0.87
Golden Electric,Utilities,0.82
Naya Solutions 42,Business,0.82
Mero Momo,Food & Dining,0.97
Sajilo Urban Bhojanalay Gorkha,Food & Dining,0.98
Dharan Hostel,Business,0.91
Biratnagar Services Dhangadhi,Business,0.82
Urban Super Theatre Gorkha,Entertainment,0.95
Nepal Depo,Shopping,0.86
Urban Tuition,Education,0.85
Nepalgunj Super Taxi,Transportation,0.9
Sundar Vendor,Other,0.98
Pashupati College,Education,0.93
Happy Telecom,Utilities,0.93
Dharan Trek,Travel,0.9
Green Stationery Biratnagar,Education,0.81
Good Store Lalitpur,Shopping,0.9
Suryodaya Utility,Utilities,0.92
Everest Restaurant,Food & Dining,0.83
Lumbini Lounge Hetauda,Entertainment,0.87
Syangja Supplies Biratnagar,Business,0.85
Pashupati Consultancy,Business,0.96
Nepal Super Mart Gorkha,Shopping,0.82
Pashupati Trek Butwal,Travel,0.86
Sajilo Mega Hospital Biratnagar,Healthcare,0.93
Dullu Diagnostics Janakpur 67,Healthcare,0.81
Kathmandu Rentals Dharan,Business,0.92
Sunrise Electric Pokhara,Utilities,0.87
Sunrise Kirana,Other,0.89
Dharan Bazaar 623,Shopping,0.9
Mero Logistics Biratnagar,Business,0.97
Royal Bakery,Food & Dining,0.97
Moonlight Gaming,Entertainment,0.81
Naya Kirana 581,Other,0.96
Metro School,Education,0.93
Pokhara Urban Kitchen Kathmandu 472,Food & Dining,0.92
Lalitpur Super Kitchen,Food & Dining,0.91
Koshi Fuel Station Pokhara,Transportation,0.8
Bishal Urban Tuition Lalitpur,Education,0.88
Bhaktapur Resort Dhangadhi,Travel,0.87
Biratnagar Laboratory 882,Healthcare,0.84
Lakeside Depo Chitwan,Shopping,0.94
Bhaktapur Urban Cable,Utilities,0.87
Riverside Urban Garage,Transportation,0.85
Green Momo,Food & Dining,0.85
Biratnagar Modern Health Center Dhangadhi,Healthcare,0.82
Koshi Guest House Lalitpur,Travel,0.83
Nepal Agency 411,Business,0.83
Chitwan Trans Kathmandu,Transportation,0.86
Dullu Events Dharan,Entertainment,0.88
Lalitpur Mega Training,Education,0.85
Nepalgunj Mega Water,Utilities,0.95
Suryodaya Logistics Nepalgunj,Business,0.8
Prime Stationery,Education,0.92
Trust Playzone Nepalgunj,Entertainment,0.81
Royal Studio Kathmandu,Entertainment,0.93
Green University Hetauda,Education,0.81
Pashupati Rentals Bhaktapur,Business,0.96
Ananda Vendor Butwal,Other,0.82
Elite School Butwal 894,Education,0.88
First Bus Service Dharan,Transportation,0.85
Butwal Bakery Dharan,Food & Dining,0.98
Green Playzone Butwal 300,Entertainment,0.83
Gorkha Laboratory 738,Healthcare,0.83
Lakeside Provider Dhangadhi,Utilities,0.84
Classic Urban Store,Shopping,0.89
Koshi Mega Service,Utilities,0.89
First Hostel Chitwan,Business,0.83
Bagmati Corner Dharan,Other,0.84
Butwal Diner,Food & Dining,0.82
Good Solutions Lalitpur,Business,0.98
Urban Rides Bhaktapur,Transportation,0.92
Sajilo Modern Hospital,Healthcare,0.89
Janakpur Mart,Food & Dining,0.98
Naya Collection Dharan 575,Shopping,0.81
Koshi Clinic Janakpur,Healthcare,0.96
Royal Flight Lalitpur,Travel,0.86
Lakeside Kirana,Other,0.94
Riverside Training 231,Education,0.99
Blue Energy Janakpur,Utilities,0.89
Classic Foods,Food & Dining,0.93
Syangja Agency Bhaktapur,Travel,0.97
Mountain Mega Clinic Jumla,Healthcare,0.89
Naya Modern Bus Service Lalitpur,Transportation,0.81
Chitwan Classic Office Dharan 483,Business,0.93
Biratnagar Diner Lalitpur,Food & Dining,0.94
Seti Stationery Janakpur,Education,0.91
Heritage Super Point,Other,0.88
Ananda Agency,Travel,0.94
Moonlight Water Hetauda,Utilities,0.84
Naya Kitchen Gorkha,Food & Dining,0.9
Nepal Training Biratnagar,Education,0.83
Lumbini Urban Office Dhangadhi,Business,0.85
Sajilo Service Nepalgunj,Utilities,0.91
Lumbini Kitchen,Food & Dining,0.82
Biratnagar Gaming Lalitpur,Entertainment,0.88
Lakeside Mega Resort Lalitpur,Travel,0.98
Biratnagar Resort,Travel,0.88
Biratnagar Mega Transport Butwal,Transportation,0.84
Riverside Super Hospital 39,Healthcare,0.81
Janakpur Super Diner Syangja,Food & Dining,0.89
Bhaktapur Books Dhangadhi,Education,0.81
Syangja Care,Healthcare,0.9
Happy Super Rides Chitwan,Transportation,0.91
Trust Super Hostel,Business,0.84
Happy Electric Jumla,Utilities,0.89
Janakpur Cinema Nepalgunj,Entertainment,0.99
Sunrise Care,Healthcare,0.81
Royal Laboratory,Healthcare,0.81
Royal Playzone,Entertainment,0.84
Prime Club Dharan,Entertainment,0.87
Trust Cinema Biratnagar,Entertainment,0.97
Pokhara Modern Tours Lalitpur 24,Travel,0.98
Lakeside Arcade Lalitpur,Entertainment,0.93
Sundar Academy Dhangadhi,Education,0.97
Kathmandu Kirana,Other,0.91
Riverside Bus Service,Transportation,0.9
Koshi Trans,Transportation,0.85
Bagmati Retreat Bhaktapur,Travel,0.83
Sunrise Urban Bazaar Pokhara,Shopping,0.9
Sundar Modern Internet,Utilities,0.81
Butwal Laboratory Butwal,Healthcare,0.86
Lalitpur Internet,Utilities,0.91
Seti Fashion Janakpur,Shopping,0.83
Nepalgunj Depo Lalitpur,Shopping,0.97
Pokhara Rides 193,Transportation,0.98
Bishal Classic Printing,Business,0.87
First Electronics,Shopping,0.92
Sundar Transport,Transportation,0.88
Urban Broadband,Utilities,0.98
Ananda Pharmacy Biratnagar,Healthcare,0.85
Green Classic Sewa,Transportation,0.81
Moonlight Provider Hetauda,Other,0.82
Lakeside Cinema Jumla,Entertainment,0.97
Butwal Gaming Nepalgunj,Entertainment,0.89
Sajilo Global Laboratory Nepalgunj,Healthcare,0.85
Everest Trek 293,Travel,0.92
Bishal Modern University,Education,0.84
Golden Classic Center,Other,0.98
Nepal Assortment Nepalgunj,Other,0.88
Metro Garage,Transportation,0.96
Seti Mega Flight,Travel,0.81
Sajilo Collection Nepalgunj,Shopping,0.89
Lakeside Medical Syangja,Healthcare,0.99
Good Institute Kathmandu,Education,0.95
Trust Modern Store,Shopping,0.99
Lalitpur Assortment Hetauda,Other,0.82
Mountain Cable Jumla 436,Utilities,0.93
Lalitpur Tuition Hetauda,Education,0.99
Naya Corner,Other,0.81
Hetauda Modern Foods,Food & Dining,0.84
Good Pharmacy 97,Healthcare,0.9
City Super Arcade Nepalgunj,Entertainment,0.91
Lakeside Travels,Transportation,0.89
Good Bakery Jumla 404,Food & Dining,0.91
Nepalgunj Telecom,Utilities,0.91
Mountain Agency Kathmandu,Travel,0.99
Syangja Restaurant Gorkha,Food & Dining,0.82
Elite Petrol Pump Janakpur,Transportation,0.91
Bagmati Mega Lounge Syangja,Entertainment,0.85
Classic Playzone,Entertainment,0.89
Happy Services Biratnagar,Business,0.95
Mero Global University,Education,0.89
Nepalgunj Super Bus Service Dhangadhi,Transportation,0.89
Butwal Point 31,Other,0.84
Good Wellness 599,Healthcare,0.86
Kathmandu Modern Travels,Travel,0.9
Classic Transport Dharan,Transportation,0.91
Kathmandu Theatre Syangja,Entertainment,0.82
Good Pasal,Other,0.8
City Modern Service,Utilities,0.89
Golden Rides Butwal,Transportation,0.94
Golden Global Events Butwal,Entertainment,0.96
Dharan Bazaar Janakpur,Shopping,0.84
First Rentals,Business,0.98
Everest Depo Bhaktapur,Shopping,0.99
Royal Depo Pokhara,Shopping,0.87
Chitwan Office Dhangadhi,Business,0.83
Bishal Assortment Kathmandu,Other,0.99
Chitwan Telecom Pokhara,Utilities,0.92
Sunrise Mega Playzone Dharan,Entertainment,0.95
Prime Urban Logistics,Business,0.95
Sundar Energy Dharan 716,Utilities,0.95
Nepal Classic Sewa Biratnagar,Transportation,0.95
Royal Utility,Utilities,0.99
Quick Rentals,Business,0.92
Prime Entertainment Chitwan,Entertainment,0.85
Seti Super Club 81,Entertainment,0.92
Koshi Hospital,Healthcare,0.95
Sukrishna Modern Flight Bhaktapur 378,Travel,0.92
Lakeside Institute Jumla,Education,0.99
Metro Wellness,Healthcare,0.85
Lalitpur Urban Theatre Chitwan,Entertainment,0.84
Lakeside Pharmacy Pokhara,Healthcare,0.83
Naya Broadband,Utilities,0.97
Pashupati Foods Chitwan,Food & Dining,0.98
Elite Corner Janakpur,Other,0.84
Sundar Internet,Utilities,0.94
Sunrise Resort Hetauda,Travel,0.89
Everest Retreat,Travel,0.97
Sundar Events,Entertainment,0.87
Lakeside Fuel Station Syangja,Transportation,0.91
Lakeside Hotel Butwal,Travel,0.86
Prime Pharmacy Dhangadhi,Healthcare,0.98
Bishal Consultancy,Business,0.9
Lumbini Lodge,Travel,0.94
Classic Provider,Utilities,0.9
Elite Super Wellness,Healthcare,0.83
Suryodaya Diagnostics Butwal,Healthcare,0.97
Lakeside Energy,Utilities,0.93
Everest Global Mart Gorkha,Shopping,0.8
Hetauda Petrol Pump Syangja,Transportation,0.93
Pokhara Rides Dharan,Transportation,0.96
First Hotel 444,Travel,0.93
Hetauda Momo Chitwan,Food & Dining,0.97
Golden Classic Clinic,Healthcare,0.93
Sundar Global Center Janakpur,Other,0.9
Smart Hotel Pokhara 805,Travel,0.83
Sundar Lounge Nepalgunj,Entertainment,0.98
Blue Events Dhangadhi,Entertainment,0.91
Good Shop Janakpur,Shopping,0.94
Pashupati University,Education,0.94
Chitwan Gaming Bhaktapur,Entertainment,0.87
Happy Tours Syangja,Travel,0.87
Sundar University,Education,0.8
Dullu Kirana,Other,0.89
Seti Outlet Janakpur,Shopping,0.92
Trust Sewa Janakpur,Transportation,0.92
Smart Super Agency Butwal 853,Travel,0.82
Moonlight Transport,Transportation,0.88
Sajilo Mega Mart Syangja,Shopping,0.8
Mero Utility 903,Utilities,0.96
Sajilo Super Store,Shopping,0.96
Bhaktapur Resort Butwal,Travel,0.94
Bishal Classic Ayurveda Dhangadhi,Healthcare,0.89
Sukrishna Depo Janakpur,Shopping,0.86
Hetauda Printing Chitwan,Business,0.84
Smart Modern Kitchen,Food & Dining,0.83
Syangja Modern Agency Chitwan,Business,0.94
Everest Classic Emporium Jumla,Shopping,0.8
Smart Logistics,Business,0.9
Nepalgunj Studio,Entertainment,0.91
Janakpur Utility Dhangadhi,Utilities,0.9
City Gaming Janakpur,Entertainment,0.98
Urban Classic Outlet,Shopping,0.86
Metro Classic Collection,Shopping,0.9
Janakpur Urban Provider,Other,0.96
Riverside Resort Gorkha,Travel,0.9
Himal Beverages Lalitpur 158,Food & Dining,0.91
Lakeside Wellness,Healthcare,0.83
Prime Agency,Business,0.91
Quick Bazaar 976,Shopping,0.97
Pashupati Electric,Utilities,0.82
Pokhara Pharmacy Gorkha,Healthcare,0.96
Nepal Solutions Pokhara,Business,0.8
Sukrishna Classic College,Education,0.93
Koshi Provider Pokhara,Utilities,0.85
Ananda Club Pokhara,Entertainment,0.95
Moonlight Urban Point,Other,0.89
Hetauda Global Guest House Jumla,Travel,0.84
Quick Modern Assortment,Other,0.81
Mountain Studio Lalitpur 895,Entertainment,0.84
Bishal Hospital,Healthcare,0.97
Mero Center Dhangadhi,Education,0.92
Sunrise Store,Shopping,0.98
Riverside University Butwal,Education,0.94
Dharan Sewa Biratnagar,Transportation,0.83
Himal Diagnostics 867,Healthcare,0.95
Smart Tuition Gorkha,Education,0.98
Blue Depo,Shopping,0.94
Mountain Modern Cable Hetauda,Utilities,0.93
Kathmandu Store Pokhara,Shopping,0.8
Prime Mega Goods Pokhara,Other,0.86
Everest Vendor Chitwan 851,Other,0.9
Dullu Diagnostics,Healthcare,0.87
Trust Retreat,Travel,0.84
Bishal Classic Collection 571,Shopping,0.84
Butwal Classic Bus Service,Transportation,0.94
